"filename", "language", "JSON with Comments", "Markdown", "JSON", "C++", "C#", "Python", "Rust", "TypeScript JSX", "pip requirements", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\tsconfig.node.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 44, 31, 230
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\deploy.rs", "Rust", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 7, 35
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\doctor.rs", "Rust", 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 69, 59, 485
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 8, 11, 83
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\run.rs", "Rust", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 9, 12, 81
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\test.rs", "Rust", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 13, 30, 204
"c:\Users\ankit\Downloads\xace\packages\cli\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 56, 34, 280
"c:\Users\ankit\Downloads\xace\packages\cli\src\error.rs", "Rust", 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 34, 42, 260
"c:\Users\ankit\Downloads\xace\packages\cli\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 44, 23, 141
"c:\Users\ankit\Downloads\xace\packages\cli\src\python_bridge.rs", "Rust", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 85, 43, 361
"c:\Users\ankit\Downloads\xace\packages\cli\tests\test_build.rs", "Rust", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 14, 7, 106
"c:\Users\ankit\Downloads\xace\packages\cli\tests\test_doctor.rs", "Rust", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 14, 10, 108
